Name;Symbol;Start Date;Hist.;Category;Exchange;Market;Currency;Type;Sector;Full Name
SAP;D:SAP;03.11.1988;1988;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;SAP
SIEMENS;D:SIE;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;General Industrials;Siemens
SAP (XET);D:SAPX;18.12.1996;1996;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;SAP (XETRA)
SIEMENS (XET);D:SIEX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;General Industrials;Siemens (XETRA)
BAYER;D:BAYN;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;Bayer
BASF;D:BAS;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Chemicals;BASF
BAYER (XET);D:BAYX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Chemicals;Bayer (XETRA)
DAIMLER;D:DAI;26.10.1998;1998;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;Daimler
ALLIANZ;D:ALV;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Nonlife Insurance;Allianz
BASF (XET);D:BASX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Chemicals;BASF (XETRA)
DEUTSCHE TELEKOM;D:DTE;15.11.1996;1996;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Mobile Telecommunications;Deutsche Telekom
ALLIANZ (XET);D:ALVX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Nonlife Insurance;Allianz (XETRA)
DAIMLER (XET);D:DAIX;27.10.1998;1998;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;Daimler (XETRA)
DEUTSCHE TELEKOM (XET);D:DTEX;15.11.1996;1996;Equities;XETRA;Germany;Euro;Equity;Mobile Telecommunications;Deutsche Telekom (XETRA)
BMW;D:BMW;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;BMW
BMW (XET);D:BMWX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;BMW (XETRA)
VOLKSWAGEN;D:VOW;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;Volkswagen
DEUTSCHE BANK;D:DBK;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Banks;Deutsche Bank
ADIDAS;D:ADS;17.11.1995;1995;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Personal Goods;Adidas
CONTINENTAL;D:CON;01.01.1973;1973;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Automobiles and Parts;Continental
DEUTSCHE POST;D:DPW;17.11.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Transportation;Deutsche Post
VOLKSWAGEN (XET);D:VOWX;01.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;Volkswagen (XETRA)
CONTINENTAL (XET);D:CONX;09.07.1991;1991;Equities;XETRA;Germany;Euro;Equity;Automobiles and Parts;Continental (XETRA)
ADIDAS (XET);D:ADSX;24.04.1996;1996;Equities;XETRA;Germany;Euro;Equity;Personal Goods;Adidas (XETRA)
